month,datasets_created,Agency
2020-11-01,849,HHS
2020-12-01,48,HHS
2021-01-01,2,HHS
2021-03-01,222,HHS
2021-04-01,32,HHS
2021-05-01,12,HHS
2021-06-01,17,HHS
2021-07-01,67,HHS
2021-09-01,8,HHS
2021-10-01,182,HHS
2021-11-01,14,HHS
2021-12-01,9,HHS
2022-01-01,135,HHS
2022-02-01,25,HHS
2022-03-01,35,HHS
2022-04-01,39,HHS
2022-05-01,2,HHS
2022-06-01,14,HHS
2022-07-01,2,HHS
2022-08-01,4,HHS
2022-09-01,10,HHS
2022-10-01,22,HHS
2022-11-01,12,HHS
2022-12-01,13,HHS
2023-01-01,4,HHS
2023-02-01,8,HHS
2023-03-01,58,HHS
2023-04-01,26,HHS
2023-05-01,11,HHS
2023-06-01,23,HHS
2023-07-01,26,HHS
2023-08-01,91,HHS
2023-09-01,16,HHS
2023-10-01,25,HHS
2023-11-01,18,HHS
2023-12-01,14,HHS
2024-01-01,19,HHS
2024-02-01,5,HHS
2024-03-01,10,HHS
2024-04-01,2,HHS
2024-05-01,7,HHS
2024-06-01,2,HHS
2025-02-01,138,HHS
2025-03-01,15,HHS
2025-04-01,17,HHS
2025-05-01,15,HHS
