month,Agency,datasets_created
2013-06-01,CDC (Socrata),5
2013-07-01,CDC (Socrata),6
2013-08-01,CDC (Socrata),2
2014-03-01,CDC (Socrata),12
2014-04-01,CDC (Socrata),6
2014-05-01,CDC (Socrata),11
2014-06-01,CDC (Socrata),1
2014-07-01,CDC (Socrata),9
2014-08-01,CDC (Socrata),4
2014-09-01,CDC (Socrata),2
2014-12-01,CDC (Socrata),49
2015-01-01,CDC (Socrata),27
2015-02-01,CDC (Socrata),3
2015-03-01,CDC (Socrata),21
2015-04-01,CDC (Socrata),5
2015-05-01,CDC (Socrata),8
2015-06-01,CDC (Socrata),13
2015-07-01,CDC (Socrata),9
2015-08-01,CDC (Socrata),2
2015-09-01,CDC (Socrata),2
2015-10-01,CDC (Socrata),1
2015-11-01,CDC (Socrata),5
2015-12-01,CDC (Socrata),14
2016-01-01,CDC (Socrata),19
2016-03-01,CDC (Socrata),2
2016-04-01,CDC (Socrata),1
2016-05-01,CDC (Socrata),5
2016-06-01,CDC (Socrata),4
2016-07-01,CDC (Socrata),6
2016-08-01,CDC (Socrata),4
2016-09-01,CDC (Socrata),1
2016-10-01,CDC (Socrata),4
2016-11-01,CDC (Socrata),7
2017-01-01,CDC (Socrata),18
2017-04-01,CDC (Socrata),2
2017-05-01,CDC (Socrata),1
2017-06-01,CDC (Socrata),4
2017-07-01,CDC (Socrata),4
2017-08-01,CDC (Socrata),4
2017-09-01,CDC (Socrata),1
2017-10-01,CDC (Socrata),1
2017-11-01,CDC (Socrata),3
2017-12-01,CDC (Socrata),2
2018-01-01,CDC (Socrata),20
2018-02-01,CDC (Socrata),7
2018-03-01,CDC (Socrata),2
2018-04-01,CDC (Socrata),1
2018-05-01,CDC (Socrata),6
2018-06-01,CDC (Socrata),1
2018-07-01,CDC (Socrata),8
2018-08-01,CDC (Socrata),3
2018-10-01,CDC (Socrata),3
2018-12-01,CDC (Socrata),9
2019-01-01,CDC (Socrata),33
2019-02-01,CDC (Socrata),1
2019-03-01,CDC (Socrata),2
2019-04-01,CDC (Socrata),42
2019-05-01,CDC (Socrata),3
2019-06-01,CDC (Socrata),1
2019-07-01,CDC (Socrata),2
2019-08-01,CDC (Socrata),2
2019-09-01,CDC (Socrata),2
2019-12-01,CDC (Socrata),33
2020-01-01,CDC (Socrata),11
2020-03-01,CDC (Socrata),7
2020-04-01,CDC (Socrata),13
2020-05-01,CDC (Socrata),17
2020-06-01,CDC (Socrata),3
2020-07-01,CDC (Socrata),6
2020-08-01,CDC (Socrata),6
2020-09-01,CDC (Socrata),15
2020-10-01,CDC (Socrata),11
2020-11-01,CDC (Socrata),4
2020-12-01,CDC (Socrata),3
2021-01-01,CDC (Socrata),48
2021-02-01,CDC (Socrata),20
2021-03-01,CDC (Socrata),9
2021-04-01,CDC (Socrata),15
2021-05-01,CDC (Socrata),36
2021-06-01,CDC (Socrata),5
2021-07-01,CDC (Socrata),8
2021-08-01,CDC (Socrata),8
2021-09-01,CDC (Socrata),14
2021-10-01,CDC (Socrata),10
2021-11-01,CDC (Socrata),8
2021-12-01,CDC (Socrata),40
2022-01-01,CDC (Socrata),8
2022-02-01,CDC (Socrata),8
2022-03-01,CDC (Socrata),5
2022-04-01,CDC (Socrata),1
2022-05-01,CDC (Socrata),6
2022-06-01,CDC (Socrata),25
2022-07-01,CDC (Socrata),6
2022-08-01,CDC (Socrata),1
2022-09-01,CDC (Socrata),7
2022-10-01,CDC (Socrata),19
2022-11-01,CDC (Socrata),5
2022-12-01,CDC (Socrata),15
2023-01-01,CDC (Socrata),4
2023-02-01,CDC (Socrata),6
2023-03-01,CDC (Socrata),3
2023-04-01,CDC (Socrata),8
2023-05-01,CDC (Socrata),31
2023-06-01,CDC (Socrata),27
2023-07-01,CDC (Socrata),6
2023-08-01,CDC (Socrata),5
2023-09-01,CDC (Socrata),12
2023-10-01,CDC (Socrata),8
2023-11-01,CDC (Socrata),12
2023-12-01,CDC (Socrata),16
2024-01-01,CDC (Socrata),13
2024-02-01,CDC (Socrata),32
2024-03-01,CDC (Socrata),8
2024-04-01,CDC (Socrata),14
2024-05-01,CDC (Socrata),5
2024-06-01,CDC (Socrata),2
2024-07-01,CDC (Socrata),43
2024-08-01,CDC (Socrata),4
2024-09-01,CDC (Socrata),22
2024-10-01,CDC (Socrata),26
2024-11-01,CDC (Socrata),106
2024-12-01,CDC (Socrata),22
2025-01-01,CDC (Socrata),2
2025-02-01,CDC (Socrata),7
2025-03-01,CDC (Socrata),2
2025-04-01,CDC (Socrata),7
2025-05-01,CDC (Socrata),2
2025-05-01,CDC (VAERS),1
